"",""
"Action","Action"
"Add Device","Add Device"
"An error occurred while updating the devices.","An error occurred while updating the devices."
"App Version","App Version"
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change status","Change status"
"Could not find device to delete.","Could not find device to delete."
"Created at","Created at"
"Customer Id","Customer Id"
"Delete Device","Delete Device"
"Delete","Delete"
"Device Id","Device Id"
"Device Model","Device Model"
"Device was saved","Device was saved"
"Device was successfully deleted.","Device was successfully deleted."
"Device was successfully saved","Device was successfully saved"
"Device","Device"
"Devices","Devices"
"Disabled","Disabled"
"Edit Device '%s'","Edit Device '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving device","Error saving device"
"Excel","Excel"
"GSM ID","GSM ID"
"Home","Home"
"Id","Id"
"Manufacturer","Manufacturer"
"No","No"
"None","None"
"Platform","Platform"
"Please select devices to delete.","Please select devices to delete."
"Please select devices.","Please select devices."
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Device","Save Device"
"Status","Status"
"Store views","Store views"
"The devices has been deleted.","The devices has been deleted."
"There was a problem saving the device.","There was a problem saving the device."
"There was an error deleting device.","There was an error deleting device."
"There was an error deleting devices.","There was an error deleting devices."
"There was an error updating devices.","There was an error updating devices."
"This device no longer exists.","This device no longer exists."
"Total of %d devices were successfully deleted.","Total of %d devices were successfully deleted."
"Total of %d devices were successfully updated.","Total of %d devices were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Unable to find device to save.","Unable to find device to save."
"Updated at","Updated at"
"Version","Version"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"